timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-12T09:17:10,glue.sst2.ConcatMonolingual.num_rows=100,ab89c422-1841-4cea-a2ed-102dda67c02b,29.93864536,0.00018581,6.21E-06,22.5,31.429,5.9670825,0.000186628,0.000254213,4.87E-05,0.000489526,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:17:43,glue.sst2.ContractionExpansions.num_rows=100,c9955ce1-ef37-4d87-b17a-f67891006f8c,31.47681952,0.000195109,6.20E-06,22.5,31.353,5.9670825,0.000196223,0.000266763,5.10E-05,0.000514025,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:18:18,glue.sst2.CorrectCommonMisspellings.num_rows=100,72f2f468-c05e-4da0-bd4a-e656e1ee834b,32.64889669,0.000202047,6.19E-06,22.5,31.313,5.9670825,0.000203637,0.00027615,5.25E-05,0.000532303,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:18:51,glue.sst2.CountryStateAbbreviation.num_rows=100,4ec0c01d-92a1-4fbe-9b77-ac0fa956ae30,30.69988585,0.000247924,8.08E-06,22.5,31.116,5.9670825,0.000191679,0.000387371,7.41E-05,0.000653169,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:19:22,glue.sst2.DiacriticRemoval.num_rows=100,feb39a79-5420-49ab-8050-cac673d8662f,29.17977715,0.000180933,6.20E-06,22.5,30.848,5.9670825,0.000181984,0.00024711,4.76E-05,0.000476679,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:19:53,glue.sst2.DiscourseMarkerSubstitution.num_rows=100,de3adb0b-c62c-4245-a831-3bba1c905c24,29.11876702,0.000179992,6.18E-06,22.5,30.684,5.9670825,0.000181569,0.000245114,4.75E-05,0.000474198,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:20:24,glue.sst2.DyslexiaWordsSwap.num_rows=100,db9a8d5a-1eb5-4bfc-98d4-515771b7b5bf,28.63331461,0.000176605,6.17E-06,22.5,30.495,5.9670825,0.000178763,0.000239983,4.65E-05,0.000465275,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:20:55,glue.sst2.EnglishInflectionalVariation.num_rows=100,3d8840ef-3528-45f6-ab1c-aabd197e3449,29.29627609,0.000180529,6.16E-06,22.5,30.864,5.9670825,0.000182189,0.000245869,4.76E-05,0.000475614,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:21:27,glue.sst2.FillerWordAugmentation.num_rows=100,eeb136ca-7b85-457b-a81e-66e130342bac,29.62827373,0.000183471,6.19E-06,22.5,31.012,5.9670825,0.000184571,0.000250542,4.83E-05,0.000483363,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:21:59,glue.sst2.GenderSwap.num_rows=100,26e3031e-2ee0-417a-8c5c-a88b5b3aa4eb,29.94689941,0.00018532,6.19E-06,22.5,31.406,5.9670825,0.000186134,0.000253578,4.85E-05,0.000488236,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
